X,Y,Color
-180.0,-36.0,"(0.6, 0.8, 1.0, 1.0)"
-180.0,-32.0,"(0.6, 0.8, 1.0, 1.0)"
-180.0,-28.0,"(0.6, 0.8, 1.0, 1.0)"
-172.0,-40.0,"(0.6, 0.8, 1.0, 1.0)"
-168.0,0.0,"(0.6, 0.8, 1.0, 1.0)"
-164.0,-56.0,"(0.6, 0.8, 1.0, 1.0)"
-156.0,8.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,-112.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,-108.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,-108.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,-80.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,-56.0,"(0.6, 0.8, 1.0, 1.0)"
-144.0,-116.0,"(0.6, 0.8, 1.0, 1.0)"
-144.0,-80.0,"(0.6, 0.8, 1.0, 1.0)"
-140.0,-120.0,"(0.6, 0.8, 1.0, 1.0)"
-140.0,-100.0,"(0.6, 0.8, 1.0, 1.0)"
-140.0,-76.0,"(0.6, 0.8, 1.0, 1.0)"
-140.0,-8.0,"(0.6, 0.8, 1.0, 1.0)"
-136.0,-76.0,"(0.6, 0.8, 1.0, 1.0)"
-136.0,-12.0,"(0.4, 0.8, 0.0, 1.0)"
-136.0,-8.0,"(0.6, 0.8, 1.0, 1.0)"
-132.0,-112.0,"(0.6, 0.8, 1.0, 1.0)"
-132.0,-92.0,"(0.4, 0.8, 0.0, 1.0)"
-132.0,-84.0,"(0.6, 0.8, 1.0, 1.0)"
-132.0,-8.0,"(0.6, 0.8, 1.0, 1.0)"
-128.0,-116.0,"(0.6, 0.8, 1.0, 1.0)"
-128.0,-92.0,"(0.4, 0.8, 0.0, 1.0)"
-128.0,-88.0,"(0.6, 0.8, 1.0, 1.0)"
-128.0,-80.0,"(0.6, 0.8, 1.0, 1.0)"
-128.0,-72.0,"(0.6, 0.8, 1.0, 1.0)"
-128.0,-68.0,"(0.0, 0.2, 0.4, 1.0)"
-128.0,-64.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-128.0,-52.0,"(0.6, 0.8, 1.0, 1.0)"
-128.0,12.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,-104.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,-100.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,-96.0,"(0.8, 0.0, 0.0, 1.0)"
-124.0,-92.0,"(0.4, 0.8, 0.0, 1.0)"
-124.0,-88.0,"(0.4, 0.8, 0.0, 1.0)"
-124.0,-84.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,-76.0,"(0.0, 0.2, 0.4, 1.0)"
-124.0,-68.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-124.0,-64.0,"(0.8, 0.0, 0.0, 1.0)"
-124.0,-60.0,"(0.0, 0.2, 0.4, 1.0)"
-124.0,-56.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,-44.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,20.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,-116.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,-104.0,"(0.4, 0.8, 0.0, 1.0)"
-120.0,-100.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,-96.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,-92.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-120.0,-88.0,"(0.4, 0.8, 0.0, 1.0)"
-120.0,-84.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,-80.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,-72.0,"(0.8, 0.0, 0.0, 1.0)"
-120.0,-68.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,-60.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,-56.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,-52.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,-24.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,-12.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,4.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,-108.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,-100.0,"(0.4, 0.8, 0.0, 1.0)"
-116.0,-96.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-116.0,-92.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-116.0,-88.0,"(0.4, 0.8, 0.0, 1.0)"
-116.0,-84.0,"(0.4, 0.8, 0.0, 1.0)"
-116.0,-76.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-116.0,-72.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,-68.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,-52.0,"(0.0, 0.2, 0.4, 1.0)"
-116.0,-28.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-116.0,-24.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,-16.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,-12.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,4.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,-180.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,-104.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,-100.0,"(0.8, 0.0, 0.0, 1.0)"
-112.0,-96.0,"(0.8, 0.0, 0.0, 1.0)"
-112.0,-92.0,"(0.8, 0.0, 0.0, 1.0)"
-112.0,-88.0,"(0.4, 0.8, 0.0, 1.0)"
-112.0,-84.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-112.0,-76.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,-68.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,-60.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,-44.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,-36.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,-32.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,-20.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,-16.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,4.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,-108.0,"(0.0, 0.2, 0.4, 1.0)"
-108.0,-104.0,"(0.4, 0.8, 0.0, 1.0)"
-108.0,-100.0,"(0.4, 0.8, 0.0, 1.0)"
-108.0,-96.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,-92.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,-88.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,-84.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,-80.0,"(0.4, 0.8, 0.0, 1.0)"
-108.0,-72.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,-68.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,-64.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,-48.0,"(0.4, 0.8, 0.0, 1.0)"
-108.0,-28.0,"(0.4, 0.8, 0.0, 1.0)"
-108.0,-24.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-108.0,-20.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,-16.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,-12.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,-8.0,"(0.6, 0.8, 1.0, 1.0)"
-104.0,-116.0,"(0.0, 0.2, 0.4, 1.0)"
-104.0,-112.0,"(0.0, 0.2, 0.4, 1.0)"
-104.0,-108.0,"(0.6, 0.8, 1.0, 1.0)"
-104.0,-104.0,"(0.0, 0.2, 0.4, 1.0)"
-104.0,-100.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,-96.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,-92.0,"(0.6, 0.8, 1.0, 1.0)"
